Date,Time,Location,Location Type,Pedestrian,Bike,Motorcycle,Veh,Age,Gender ,Latitude,Longitude
10/2/2014,8:30:00 PM,6500 block Main St,Close to intersection,,,,1,70-79,F,49.22566311,-123.101632
10/3/2014,4:05:00 PM,1501 Stanley Park Dr,Mid-Block,1,,,0,70-79,M,,
10/17/2014,8:00:00 AM,1200 block Renfrew St,Mid-Block,1,,,0,70-79,F,49.27373749,-123.0441463
11/27/2014,5:00:00 PM,Oak and Park,Intersection,1,,,0,70-79,F,49.21445864,-123.130047
12/10/2014,8:00:00 PM,Main and Cordova  ,Intersection,1,,,0,70-79,F,49.28228489,-123.0996065
12/16/2014,2:27:00 PM,4500 block W 10th Ave,Mid-block,1,,,0,80-89,M,49.26385275,-123.2106195
12/25/2014,8:30:00 PM,Kingsway and Earles,Intersection,1,,,0,70-79,F,49.23760254,-123.0488446
12/30/2014,3:00:00 PM,Oak and W 15th,Mid-Block,1,,,0,50-59,M,49.25779968,-123.126797
1/2/2015,7:30:00 PM,SW Marine and Laurel Street,Intersection,1,,,0,40-49,F,49.20627838,-123.126322
1/3/2015,5:23:00 PM,6300 block Elliott St,Intersection,1,,,0,80-89,M,49.2263559,-123.0547051
1/16/2015,12:06:00 PM,Davie and Thurlow,Intersection,1,,,0,70-79,M,49.28038401,-123.131197
2/9/2015,11:00:00 PM,East 6th and Keith Drive,Intersection,1,,,0,50-59,F,49.26519771,-123.0793788
3/7/2015,2:45:00 PM,Hawks and East Cordova,Intersection,,,1,0,40-49,M,49.2820522,-123.0871183
3/19/2015,11:00:00 AM,100 block N Nanaimo St,Intersection,,,1,0,30-39,M,,
4/27/2015,3:30:00 PM, Prince Edward St / SE Marine Dr,Parking Lot,1,,,0,60-69,F,49.21083567,-123.0983775
7/4/2015,9:00:00 AM,Kingsway off Broadway,Intersection,1,,,0,60-69,F,49.26285921,-123.099514
8/11/2015,12:51:00 AM,5300 block Boundary Rd,Intersection,1,,,0,40-49,M,49.23491426,-123.0236423
8/19/2015,8:45:00 PM,1100 block SE Marine Dr,Intersection,1,,,0,50-59,M,49.21111851,-123.0840597
9/21/2015,10:00:00 PM,Oak and W 53rd,Intersection,1,,,0,70-79,F,49.22280964,-123.1284512
10/28/2015,7:00:00 AM,100 block E Hastings St,Close to Intersection,1,,,0,60-69,M,49.28136016,-123.1009519
11/5/2015,8:00:00 PM,Victoria and SE Marine Dr,Intersection,1,,,0,10-19,F,49.20968952,-123.0661113
11/14/2015,1:06:00 PM,Oak St & W 41st Ave,Intersection,,,,1,60-69,M,49.2339516,-123.1280743
1/9/2016,9:24:00 PM,Burrard St at W Hastings St,Intersection,,,,1,20-29,F,49.28712275,-123.1170235
1/21/2016,10:27:00 PM,100 Block E Broadway Ave Mid block East Broadway between Main Street & Quebec Street,mid block,1,,,0,80-89,M,49.26293669,-123.1019602
